arm,task,trial,invocation_index,pre_amendment,agent_max_tokens,user_max_tokens,tau2_simulation_timeout_s,n_attempts_all_invocations,n_discarded_attempts,canonical_termination_reason,n_agent_responses_finish_length,n_user_responses_finish_length
A,11,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,12,1,2,false,1024,1024,1800,1,0,too_many_errors,0,0
A,13,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,14,1,2,false,1024,1024,1800,1,0,max_steps,0,0
A,15,1,2,false,1024,1024,1800,1,0,max_steps,0,0
A,16,1,2,false,1024,1024,1800,1,0,max_steps,0,0
A,17,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,18,1,2,false,1024,1024,1800,1,0,max_steps,0,0
A,19,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,20,1,2,false,1024,1024,1800,1,0,too_many_errors,0,0
A,21,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,22,1,2,false,1024,1024,1800,1,0,too_many_errors,0,0
A,23,1,2,false,1024,1024,1800,1,0,max_steps,0,0
A,24,1,2,false,1024,1024,1800,1,0,user_stop,1,0
A,25,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,26,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,27,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,28,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,29,1,2,false,1024,1024,1800,1,0,max_steps,0,0
A,30,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,31,1,2,false,1024,1024,1800,1,0,user_stop,1,0
A,32,1,2,false,1024,1024,1800,4,4,infrastructure_error,0,0
A,33,1,2,false,1024,1024,1800,1,0,too_many_errors,0,0
A,34,1,2,false,1024,1024,1800,1,0,too_many_errors,0,0
A,35,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,36,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,37,1,2,false,1024,1024,1800,1,0,too_many_errors,0,0
A,38,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,39,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,40,1,2,false,1024,1024,1800,1,0,max_steps,0,0
A,41,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,42,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,43,1,2,false,1024,1024,1800,1,0,max_steps,0,0
A,44,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,45,1,2,false,1024,1024,1800,1,0,max_steps,0,0
A,46,1,2,false,1024,1024,1800,1,0,user_stop,0,0
A,47,1,2,false,1024,1024,1800,1,0,max_steps,0,0
A,48,1,2,false,1024,1024,1800,1,0,max_steps,0,0
A,49,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,1,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,2,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,3,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,4,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,5,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,6,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,7,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,8,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,9,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,10,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,11,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,12,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,13,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,14,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,15,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,16,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,17,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,18,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,19,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,20,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,21,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,22,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,23,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,24,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,25,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,26,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,27,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,28,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,29,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,30,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,31,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,32,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,33,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,34,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,35,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,36,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,37,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,38,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,39,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,40,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,41,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,42,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,43,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,44,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,45,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,46,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,47,0,2,false,1024,1024,1800,1,0,max_steps,0,0
B,48,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,49,0,2,false,1024,1024,1800,1,0,user_stop,0,0
B,1,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,2,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,3,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,4,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,5,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,6,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,7,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,8,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,9,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,10,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,11,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,12,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,13,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,14,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,15,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,16,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,17,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,18,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,19,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,20,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,21,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,22,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,23,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,24,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,25,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,26,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,27,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,28,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,29,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,30,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,31,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,32,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,33,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,34,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,35,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,36,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,37,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,38,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,39,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,40,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,41,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,42,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,43,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,44,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,45,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,46,1,2,false,1024,1024,1800,1,0,user_stop,0,0
B,47,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,48,1,2,false,1024,1024,1800,1,0,max_steps,0,0
B,49,1,2,false,1024,1024,1800,1,0,max_steps,0,0
