pair,task_a,task_b,score,decisive_tier_zero_based,success_difference
47,humaneval/39,mbpp/725,1,1,0
48,mbpp/472,mbpp/77,-1,1,0
49,humaneval/78,humaneval/136,-1,1,0
50,humaneval/7,humaneval/49,-1,1,0
51,mbpp/779,humaneval/38,-1,1,0
52,mbpp/753,mbpp/799,0,-1,0
53,mbpp/404,humaneval/11,-1,1,0
54,mbpp/281,mbpp/96,-1,1,0
55,mbpp/91,mbpp/731,-1,1,0
56,humaneval/35,humaneval/153,-1,1,0
57,humaneval/16,mbpp/732,-1,1,0
58,humaneval/66,humaneval/127,-1,0,-1
59,mbpp/270,mbpp/14,-1,1,0
60,humaneval/9,mbpp/389,-1,1,0
61,humaneval/159,mbpp/66,-1,1,0
62,mbpp/600,mbpp/253,-1,1,0
63,mbpp/470,mbpp/56,-1,1,0
64,mbpp/479,mbpp/407,-1,0,-1
65,mbpp/612,mbpp/285,-1,1,0
66,mbpp/62,mbpp/84,-1,1,0
67,mbpp/92,mbpp/2,-1,1,0
68,mbpp/475,humaneval/163,0,-1,0
69,humaneval/60,humaneval/154,-1,0,-1
70,mbpp/764,mbpp/106,-1,1,0
71,humaneval/5,humaneval/69,-1,1,0
72,mbpp/614,mbpp/555,0,-1,0
73,mbpp/70,mbpp/230,-1,1,0
74,mbpp/787,mbpp/140,-1,0,-1
75,humaneval/111,mbpp/611,-1,1,0
76,mbpp/102,humaneval/36,1,0,1
77,humaneval/45,mbpp/791,-1,1,0
78,mbpp/461,humaneval/147,1,0,1
79,mbpp/300,humaneval/67,-1,1,0
80,humaneval/28,humaneval/161,-1,1,0
81,mbpp/279,mbpp/740,1,0,1
82,mbpp/792,mbpp/748,-1,1,0
83,humaneval/119,mbpp/82,-1,1,0
84,mbpp/458,mbpp/235,-1,0,-1
85,mbpp/620,mbpp/427,-1,0,-1
86,mbpp/808,humaneval/141,0,-1,0
87,mbpp/118,mbpp/274,-1,1,0
88,humaneval/110,mbpp/455,-1,1,0
89,mbpp/754,mbpp/3,-1,1,0
90,mbpp/142,mbpp/264,-1,1,0
91,humaneval/75,humaneval/112,0,-1,0
92,mbpp/785,mbpp/170,-1,1,0
93,humaneval/85,humaneval/134,-1,1,0
94,humaneval/126,mbpp/756,1,0,1
95,mbpp/580,humaneval/113,1,0,1
96,mbpp/244,mbpp/452,-1,0,-1
97,mbpp/741,mbpp/394,-1,1,0
98,mbpp/602,mbpp/312,-1,1,0
99,humaneval/34,mbpp/295,-1,1,0
100,mbpp/468,humaneval/98,1,0,1
101,humaneval/53,mbpp/103,-1,1,0
102,mbpp/87,mbpp/397,1,0,1
103,mbpp/297,mbpp/757,-1,1,0
104,mbpp/568,mbpp/391,-1,0,-1
105,mbpp/608,mbpp/85,-1,1,0
106,humaneval/31,mbpp/584,-1,0,-1
107,mbpp/309,humaneval/30,-1,1,0
108,mbpp/408,mbpp/9,-1,1,0
109,mbpp/276,mbpp/750,-1,0,-1
110,humaneval/105,mbpp/809,-1,1,0
111,humaneval/123,mbpp/139,1,0,1
112,humaneval/71,mbpp/450,-1,0,-1
113,humaneval/27,mbpp/65,-1,1,0
114,humaneval/99,humaneval/18,-1,1,0
115,mbpp/63,mbpp/590,-1,0,-1
116,humaneval/95,humaneval/107,-1,1,0
117,mbpp/419,humaneval/83,-1,0,-1
118,mbpp/428,mbpp/644,-1,0,-1
119,mbpp/234,humaneval/4,-1,1,0
120,mbpp/625,mbpp/126,-1,0,-1
121,mbpp/588,humaneval/133,-1,1,0
122,mbpp/454,mbpp/97,-1,1,0
123,humaneval/158,mbpp/564,-1,0,-1
124,humaneval/132,mbpp/751,1,0,1
125,mbpp/790,mbpp/770,-1,1,0
126,mbpp/616,mbpp/607,-1,1,0
127,mbpp/595,humaneval/160,0,-1,0
128,mbpp/71,humaneval/125,1,0,1
129,mbpp/632,mbpp/80,-1,1,0
130,mbpp/132,mbpp/392,-1,1,0
131,mbpp/562,mbpp/273,0,-1,0
132,humaneval/144,mbpp/68,1,0,1
133,humaneval/20,humaneval/137,-1,1,0
134,mbpp/398,mbpp/7,1,0,1
135,mbpp/284,humaneval/8,-1,1,0
136,mbpp/413,humaneval/32,-1,0,-1
137,mbpp/95,humaneval/122,-1,1,0
138,mbpp/734,humaneval/37,1,0,1
139,mbpp/240,humaneval/152,-1,1,0
140,humaneval/124,humaneval/43,-1,1,0
141,humaneval/84,mbpp/747,-1,0,-1
142,mbpp/627,mbpp/557,-1,1,0
143,mbpp/283,humaneval/42,-1,1,0
144,mbpp/120,mbpp/396,-1,0,-1
145,mbpp/797,mbpp/755,-1,0,-1
146,mbpp/18,mbpp/597,-1,0,-1
147,mbpp/269,mbpp/463,-1,1,0
148,mbpp/610,mbpp/265,1,0,1
149,humaneval/0,mbpp/777,-1,0,-1
150,mbpp/745,mbpp/257,1,0,1
151,mbpp/583,mbpp/249,-1,0,-1
152,mbpp/762,mbpp/227,-1,1,0
153,mbpp/266,mbpp/619,-1,1,0
154,humaneval/72,humaneval/143,-1,0,-1
155,humaneval/3,mbpp/438,-1,0,-1
156,mbpp/301,mbpp/129,-1,1,0
157,mbpp/255,mbpp/759,-1,1,0
158,mbpp/464,mbpp/417,-1,0,-1
159,mbpp/724,mbpp/262,-1,1,0
160,humaneval/70,mbpp/271,-1,1,0
161,mbpp/421,humaneval/14,1,0,1
162,mbpp/566,mbpp/457,-1,1,0
163,mbpp/277,humaneval/15,-1,1,0
164,mbpp/572,mbpp/794,1,0,1
165,mbpp/434,mbpp/477,-1,0,-1
166,mbpp/445,mbpp/426,1,0,1
167,mbpp/226,mbpp/800,-1,1,0
168,humaneval/26,mbpp/737,1,0,1
169,mbpp/444,humaneval/44,1,0,1
170,mbpp/425,humaneval/94,-1,1,0
171,mbpp/780,humaneval/128,1,0,1
172,humaneval/115,mbpp/400,-1,0,-1
173,humaneval/157,mbpp/576,-1,1,0
174,mbpp/59,mbpp/261,1,0,1
175,mbpp/624,mbpp/130,1,0,1
176,mbpp/89,mbpp/581,-1,0,-1
177,mbpp/412,humaneval/47,-1,1,0
178,humaneval/104,humaneval/68,-1,1,0
179,mbpp/582,mbpp/803,-1,1,0
180,mbpp/766,humaneval/114,-1,1,0
181,mbpp/248,mbpp/563,-1,0,-1
182,mbpp/743,mbpp/409,-1,1,0
183,humaneval/93,mbpp/730,1,0,1
184,humaneval/12,mbpp/554,-1,1,0
185,mbpp/742,mbpp/272,1,0,1
186,mbpp/420,mbpp/229,1,0,1
187,mbpp/143,mbpp/145,1,0,1
188,mbpp/133,mbpp/630,-1,0,-1
189,humaneval/86,mbpp/788,-1,0,-1
190,mbpp/259,humaneval/106,1,0,1
191,mbpp/287,mbpp/726,1,0,1
192,mbpp/786,mbpp/462,-1,0,-1
193,mbpp/411,humaneval/73,1,0,1
194,humaneval/148,mbpp/579,-1,0,-1
195,mbpp/643,mbpp/739,0,-1,0
196,mbpp/222,mbpp/267,-1,1,0
197,mbpp/640,humaneval/52,1,0,1
198,mbpp/310,mbpp/245,1,0,1
199,mbpp/250,mbpp/311,-1,0,-1
200,mbpp/596,mbpp/223,1,0,1
201,mbpp/558,mbpp/623,-1,1,0
202,mbpp/429,humaneval/89,1,0,1
203,humaneval/25,mbpp/433,-1,1,0
204,mbpp/290,humaneval/50,1,0,1
205,mbpp/163,humaneval/121,-1,1,0
206,mbpp/603,mbpp/585,0,-1,0
207,humaneval/97,mbpp/20,-1,0,-1
208,humaneval/51,mbpp/772,-1,1,0
209,humaneval/10,humaneval/150,1,0,1
210,mbpp/19,mbpp/567,-1,1,0
211,mbpp/431,mbpp/760,1,0,1
212,mbpp/758,mbpp/784,-1,1,0
213,mbpp/131,mbpp/6,-1,1,0
214,mbpp/628,mbpp/8,-1,1,0
215,mbpp/796,mbpp/436,-1,1,0
216,mbpp/574,humaneval/56,1,0,1
217,mbpp/578,mbpp/577,-1,1,0
218,mbpp/432,mbpp/586,-1,1,0
219,mbpp/771,mbpp/733,-1,1,0
220,mbpp/474,humaneval/6,-1,1,0
221,mbpp/135,humaneval/90,-1,1,0
222,mbpp/237,mbpp/4,1,0,1
223,mbpp/113,humaneval/1,-1,1,0
224,mbpp/765,humaneval/17,1,0,1
225,mbpp/86,mbpp/79,-1,1,0
226,mbpp/74,mbpp/744,-1,1,0
227,mbpp/631,mbpp/280,1,0,1
228,mbpp/405,humaneval/74,-1,1,0
229,mbpp/93,mbpp/115,-1,1,0
230,mbpp/72,mbpp/556,1,0,1
231,mbpp/776,mbpp/83,0,-1,0
232,mbpp/471,mbpp/560,-1,1,0
233,humaneval/117,mbpp/459,-1,1,0
234,mbpp/456,mbpp/415,-1,0,-1
235,mbpp/105,humaneval/59,-1,1,0
236,mbpp/67,mbpp/388,1,0,1
237,mbpp/11,mbpp/424,-1,1,0
238,humaneval/162,mbpp/162,-1,1,0
239,mbpp/749,mbpp/448,0,-1,0
240,mbpp/252,humaneval/138,1,0,1
241,mbpp/599,mbpp/233,-1,1,0
242,mbpp/736,mbpp/17,-1,1,0
243,mbpp/109,mbpp/406,-1,1,0
244,mbpp/224,mbpp/232,-1,1,0
245,mbpp/806,humaneval/81,-1,1,0
246,mbpp/443,mbpp/782,1,0,1
247,humaneval/139,mbpp/293,-1,1,0
248,mbpp/437,humaneval/146,1,0,1
249,humaneval/135,mbpp/440,-1,0,-1
250,mbpp/783,mbpp/805,-1,1,0
251,humaneval/82,mbpp/565,-1,1,0
252,humaneval/19,mbpp/587,-1,1,0
253,mbpp/239,mbpp/137,-1,1,0
254,mbpp/604,mbpp/160,0,-1,0
255,humaneval/40,mbpp/286,-1,1,0
256,mbpp/164,mbpp/251,-1,1,0
257,mbpp/738,mbpp/801,1,0,1
258,humaneval/140,mbpp/637,-1,1,0
259,mbpp/752,humaneval/48,1,0,1
260,humaneval/129,humaneval/120,0,-1,0
261,humaneval/57,mbpp/399,-1,1,0
262,mbpp/559,mbpp/638,-1,1,0
263,humaneval/55,humaneval/46,-1,1,0
264,humaneval/65,humaneval/63,1,0,1
265,mbpp/598,mbpp/793,-1,1,0
266,mbpp/410,mbpp/104,1,0,1
267,mbpp/64,mbpp/802,-1,1,0
268,mbpp/119,mbpp/61,-1,0,-1
269,mbpp/75,mbpp/393,-1,0,-1
270,mbpp/773,humaneval/92,1,0,1
271,mbpp/58,mbpp/127,-1,1,0
272,mbpp/90,humaneval/64,-1,1,0
273,humaneval/76,humaneval/109,-1,1,0
274,mbpp/626,mbpp/439,1,0,1
275,mbpp/473,humaneval/58,1,0,1
276,mbpp/117,mbpp/296,1,0,1
277,mbpp/108,humaneval/2,-1,1,0
278,mbpp/116,mbpp/99,-1,0,-1
279,mbpp/246,mbpp/465,-1,1,0
280,mbpp/435,mbpp/617,-1,0,-1
281,mbpp/460,humaneval/102,-1,1,0
282,mbpp/307,humaneval/54,0,-1,0
283,mbpp/591,humaneval/61,-1,1,0
284,mbpp/769,mbpp/238,1,0,1
285,mbpp/304,mbpp/418,-1,1,0
286,humaneval/33,humaneval/87,-1,1,0
287,mbpp/622,mbpp/594,1,0,1
288,humaneval/23,mbpp/589,-1,1,0
289,mbpp/16,humaneval/156,-1,1,0
290,mbpp/100,mbpp/720,-1,1,0
291,mbpp/453,mbpp/98,1,0,1
292,mbpp/478,humaneval/149,-1,1,0
293,mbpp/167,humaneval/88,1,0,1
294,mbpp/798,mbpp/618,-1,1,0
295,mbpp/166,humaneval/155,-1,1,0
