task_id,benchmark,score,decisive_tier_zero_based,success_difference
mbpp/260,mbpp,0,-1,0
mbpp/88,mbpp,-1,1,0
mbpp/294,mbpp,0,-1,0
mbpp/422,mbpp,-1,1,0
mbpp/291,mbpp,-1,1,0
mbpp/639,mbpp,-1,1,0
mbpp/138,mbpp,0,-1,0
humaneval/77,humaneval,1,0,1
mbpp/390,mbpp,1,0,1
mbpp/442,mbpp,0,-1,0
humaneval/145,humaneval,0,-1,0
mbpp/125,mbpp,1,0,1
mbpp/446,mbpp,0,-1,0
mbpp/282,mbpp,-1,1,0
mbpp/168,mbpp,-1,1,0
mbpp/593,mbpp,-1,0,-1
mbpp/629,mbpp,-1,1,0
humaneval/41,humaneval,-1,1,0
mbpp/305,mbpp,0,-1,0
mbpp/767,mbpp,-1,1,0
mbpp/124,mbpp,0,-1,0
mbpp/161,mbpp,-1,1,0
humaneval/13,humaneval,-1,1,0
mbpp/728,mbpp,-1,1,0
mbpp/292,mbpp,-1,1,0
mbpp/247,mbpp,-1,1,0
mbpp/641,mbpp,-1,1,0
mbpp/242,mbpp,-1,1,0
mbpp/725,mbpp,-1,1,0
humaneval/39,humaneval,-1,1,0
mbpp/77,mbpp,-1,1,0
mbpp/472,mbpp,-1,1,0
humaneval/78,humaneval,-1,1,0
humaneval/136,humaneval,-1,1,0
humaneval/49,humaneval,-1,1,0
humaneval/7,humaneval,-1,1,0
humaneval/38,humaneval,-1,1,0
mbpp/779,mbpp,-1,1,0
mbpp/799,mbpp,-1,0,-1
mbpp/753,mbpp,0,-1,0
humaneval/11,humaneval,-1,1,0
mbpp/404,mbpp,-1,1,0
mbpp/281,mbpp,-1,1,0
mbpp/96,mbpp,-1,1,0
mbpp/731,mbpp,-1,1,0
mbpp/91,mbpp,-1,0,-1
humaneval/35,humaneval,-1,0,-1
humaneval/153,humaneval,-1,1,0
humaneval/16,humaneval,-1,1,0
mbpp/732,mbpp,-1,1,0
humaneval/127,humaneval,0,-1,0
humaneval/66,humaneval,-1,1,0
mbpp/14,mbpp,-1,1,0
mbpp/270,mbpp,-1,1,0
mbpp/389,mbpp,-1,1,0
humaneval/9,humaneval,-1,1,0
humaneval/159,humaneval,-1,1,0
mbpp/66,mbpp,-1,1,0
mbpp/600,mbpp,-1,1,0
mbpp/253,mbpp,-1,1,0
mbpp/470,mbpp,-1,0,-1
mbpp/56,mbpp,-1,1,0
mbpp/407,mbpp,0,-1,0
mbpp/479,mbpp,-1,1,0
mbpp/285,mbpp,-1,1,0
mbpp/612,mbpp,-1,0,-1
mbpp/84,mbpp,-1,1,0
mbpp/62,mbpp,-1,1,0
mbpp/2,mbpp,-1,1,0
mbpp/92,mbpp,-1,0,-1
mbpp/475,mbpp,0,-1,0
humaneval/163,humaneval,0,-1,0
humaneval/154,humaneval,0,-1,0
humaneval/60,humaneval,-1,1,0
mbpp/106,mbpp,-1,1,0
mbpp/764,mbpp,-1,1,0
humaneval/69,humaneval,-1,1,0
humaneval/5,humaneval,-1,1,0
mbpp/614,mbpp,0,-1,0
mbpp/555,mbpp,-1,0,-1
mbpp/70,mbpp,-1,1,0
mbpp/230,mbpp,-1,1,0
mbpp/787,mbpp,-1,0,-1
mbpp/140,mbpp,-1,0,-1
humaneval/111,humaneval,-1,1,0
mbpp/611,mbpp,-1,1,0
humaneval/36,humaneval,-1,1,0
mbpp/102,mbpp,0,-1,0
mbpp/791,mbpp,-1,1,0
humaneval/45,humaneval,-1,1,0
mbpp/461,mbpp,0,-1,0
humaneval/147,humaneval,-1,1,0
mbpp/300,mbpp,-1,0,-1
humaneval/67,humaneval,-1,1,0
humaneval/28,humaneval,-1,1,0
humaneval/161,humaneval,-1,1,0
mbpp/740,mbpp,-1,1,0
mbpp/279,mbpp,1,0,1
mbpp/792,mbpp,-1,1,0
mbpp/748,mbpp,1,0,1
mbpp/82,mbpp,-1,1,0
humaneval/119,humaneval,-1,1,0
mbpp/458,mbpp,-1,1,0
mbpp/235,mbpp,0,-1,0
mbpp/427,mbpp,-1,0,-1
mbpp/620,mbpp,-1,1,0
humaneval/141,humaneval,0,-1,0
mbpp/808,mbpp,1,0,1
mbpp/274,mbpp,1,0,1
mbpp/118,mbpp,-1,1,0
humaneval/110,humaneval,-1,0,-1
mbpp/455,mbpp,-1,2,0
mbpp/754,mbpp,-1,1,0
mbpp/3,mbpp,-1,1,0
mbpp/264,mbpp,-1,1,0
mbpp/142,mbpp,-1,1,0
humaneval/75,humaneval,-1,0,-1
humaneval/112,humaneval,-1,1,0
mbpp/785,mbpp,-1,1,0
mbpp/170,mbpp,-1,1,0
humaneval/85,humaneval,-1,1,0
humaneval/134,humaneval,-1,1,0
humaneval/126,humaneval,0,-1,0
mbpp/756,mbpp,-1,1,0
humaneval/113,humaneval,1,0,1
mbpp/580,mbpp,0,-1,0
mbpp/244,mbpp,-1,1,0
mbpp/452,mbpp,0,-1,0
mbpp/394,mbpp,-1,1,0
mbpp/741,mbpp,-1,1,0
mbpp/312,mbpp,-1,1,0
mbpp/602,mbpp,-1,1,0
humaneval/34,humaneval,-1,1,0
mbpp/295,mbpp,1,0,1
mbpp/468,mbpp,0,-1,0
humaneval/98,humaneval,-1,1,0
humaneval/53,humaneval,-1,1,0
mbpp/103,mbpp,-1,1,0
mbpp/397,mbpp,-1,1,0
mbpp/87,mbpp,0,-1,0
mbpp/297,mbpp,-1,1,0
mbpp/757,mbpp,-1,1,0
mbpp/391,mbpp,0,-1,0
mbpp/568,mbpp,-1,1,0
mbpp/85,mbpp,-1,1,0
mbpp/608,mbpp,-1,1,0
mbpp/584,mbpp,0,-1,0
humaneval/31,humaneval,-1,1,0
humaneval/30,humaneval,-1,1,0
mbpp/309,mbpp,-1,1,0
mbpp/408,mbpp,-1,0,-1
mbpp/9,mbpp,-1,1,0
mbpp/750,mbpp,-1,0,-1
mbpp/276,mbpp,-1,1,0
humaneval/105,humaneval,-1,1,0
mbpp/809,mbpp,1,0,1
humaneval/123,humaneval,1,0,1
mbpp/139,mbpp,-1,1,0
humaneval/71,humaneval,-1,1,0
mbpp/450,mbpp,0,-1,0
mbpp/65,mbpp,-1,1,0
humaneval/27,humaneval,-1,1,0
humaneval/18,humaneval,-1,1,0
humaneval/99,humaneval,-1,1,0
mbpp/63,mbpp,-1,1,0
mbpp/590,mbpp,0,-1,0
humaneval/95,humaneval,-1,0,-1
humaneval/107,humaneval,-1,1,0
mbpp/419,mbpp,-1,1,0
humaneval/83,humaneval,-1,0,-1
mbpp/428,mbpp,-1,0,-1
mbpp/644,mbpp,0,-1,0
humaneval/4,humaneval,-1,1,0
mbpp/234,mbpp,-1,1,0
mbpp/625,mbpp,-1,1,0
mbpp/126,mbpp,0,-1,0
humaneval/133,humaneval,-1,1,0
mbpp/588,mbpp,-1,1,0
mbpp/97,mbpp,-1,1,0
mbpp/454,mbpp,-1,1,0
humaneval/158,humaneval,-1,1,0
mbpp/564,mbpp,0,-1,0
humaneval/132,humaneval,0,-1,0
mbpp/751,mbpp,-1,1,0
mbpp/770,mbpp,-1,1,0
mbpp/790,mbpp,-1,1,0
mbpp/607,mbpp,-1,1,0
mbpp/616,mbpp,-1,1,0
mbpp/595,mbpp,0,-1,0
humaneval/160,humaneval,0,-1,0
humaneval/125,humaneval,-1,1,0
mbpp/71,mbpp,1,0,1
mbpp/80,mbpp,-1,1,0
mbpp/632,mbpp,-1,1,0
mbpp/392,mbpp,1,0,1
mbpp/132,mbpp,-1,1,0
mbpp/273,mbpp,0,-1,0
mbpp/562,mbpp,1,0,1
mbpp/68,mbpp,-1,1,0
humaneval/144,humaneval,1,0,1
humaneval/137,humaneval,-1,1,0
humaneval/20,humaneval,-1,1,0
mbpp/7,mbpp,-1,1,0
mbpp/398,mbpp,0,-1,0
humaneval/8,humaneval,-1,1,0
mbpp/284,mbpp,-1,1,0
humaneval/32,humaneval,0,-1,0
mbpp/413,mbpp,-1,1,0
humaneval/122,humaneval,-1,1,0
mbpp/95,mbpp,-1,1,0
humaneval/37,humaneval,-1,1,0
mbpp/734,mbpp,0,-1,0
mbpp/240,mbpp,-1,1,0
humaneval/152,humaneval,-1,1,0
humaneval/124,humaneval,-1,1,0
humaneval/43,humaneval,-1,1,0
mbpp/747,mbpp,-1,0,-1
humaneval/84,humaneval,-1,1,0
mbpp/557,mbpp,-1,1,0
mbpp/627,mbpp,-1,1,0
humaneval/42,humaneval,-1,1,0
mbpp/283,mbpp,-1,1,0
mbpp/120,mbpp,-1,1,0
mbpp/396,mbpp,0,-1,0
mbpp/797,mbpp,-1,1,0
mbpp/755,mbpp,0,-1,0
mbpp/597,mbpp,0,-1,0
mbpp/18,mbpp,-1,0,-1
mbpp/463,mbpp,-1,1,0
mbpp/269,mbpp,-1,1,0
mbpp/610,mbpp,0,-1,0
mbpp/265,mbpp,1,0,1
mbpp/777,mbpp,0,-1,0
humaneval/0,humaneval,-1,1,0
mbpp/745,mbpp,0,-1,0
mbpp/257,mbpp,-1,1,0
mbpp/249,mbpp,0,-1,0
mbpp/583,mbpp,-1,1,0
mbpp/227,mbpp,-1,1,0
mbpp/762,mbpp,-1,1,0
mbpp/619,mbpp,-1,1,0
mbpp/266,mbpp,-1,1,0
humaneval/72,humaneval,-1,1,0
humaneval/143,humaneval,0,-1,0
mbpp/438,mbpp,0,-1,0
humaneval/3,humaneval,-1,1,0
mbpp/301,mbpp,-1,1,0
mbpp/129,mbpp,-1,1,0
mbpp/759,mbpp,1,0,1
mbpp/255,mbpp,-1,0,-1
mbpp/417,mbpp,0,-1,0
mbpp/464,mbpp,-1,1,0
mbpp/262,mbpp,-1,1,0
mbpp/724,mbpp,-1,1,0
mbpp/271,mbpp,-1,1,0
humaneval/70,humaneval,-1,1,0
humaneval/14,humaneval,-1,1,0
mbpp/421,mbpp,0,-1,0
mbpp/457,mbpp,-1,1,0
mbpp/566,mbpp,-1,1,0
humaneval/15,humaneval,-1,1,0
mbpp/277,mbpp,-1,1,0
mbpp/794,mbpp,-1,1,0
mbpp/572,mbpp,0,-1,0
mbpp/477,mbpp,0,-1,0
mbpp/434,mbpp,-1,1,0
mbpp/445,mbpp,0,-1,0
mbpp/426,mbpp,-1,1,0
mbpp/800,mbpp,-1,1,0
mbpp/226,mbpp,-1,1,0
mbpp/737,mbpp,-1,1,0
humaneval/26,humaneval,0,-1,0
mbpp/444,mbpp,0,-1,0
humaneval/44,humaneval,-1,1,0
humaneval/94,humaneval,-1,1,0
mbpp/425,mbpp,-1,1,0
mbpp/780,mbpp,0,-1,0
humaneval/128,humaneval,-1,1,0
mbpp/400,mbpp,0,-1,0
humaneval/115,humaneval,-1,1,0
mbpp/576,mbpp,-1,1,0
humaneval/157,humaneval,-1,1,0
mbpp/261,mbpp,-1,1,0
mbpp/59,mbpp,0,-1,0
mbpp/130,mbpp,-1,1,0
mbpp/624,mbpp,0,-1,0
mbpp/581,mbpp,0,-1,0
mbpp/89,mbpp,-1,1,0
humaneval/47,humaneval,-1,1,0
mbpp/412,mbpp,-1,1,0
humaneval/104,humaneval,-1,1,0
humaneval/68,humaneval,-1,1,0
mbpp/582,mbpp,-1,1,0
mbpp/803,mbpp,-1,1,0
mbpp/766,mbpp,-1,1,0
humaneval/114,humaneval,-1,1,0
mbpp/563,mbpp,-1,0,-1
mbpp/248,mbpp,-1,1,0
mbpp/743,mbpp,-1,1,0
mbpp/409,mbpp,-1,1,0
mbpp/730,mbpp,-1,1,0
humaneval/93,humaneval,1,0,1
mbpp/554,mbpp,-1,1,0
humaneval/12,humaneval,-1,1,0
mbpp/742,mbpp,0,-1,0
mbpp/272,mbpp,-1,1,0
mbpp/229,mbpp,1,0,1
mbpp/420,mbpp,1,0,1
mbpp/145,mbpp,-1,1,0
mbpp/143,mbpp,0,-1,0
mbpp/133,mbpp,-1,1,0
mbpp/630,mbpp,0,-1,0
mbpp/788,mbpp,0,-1,0
humaneval/86,humaneval,-1,1,0
mbpp/259,mbpp,0,-1,0
humaneval/106,humaneval,-1,1,0
mbpp/287,mbpp,0,-1,0
mbpp/726,mbpp,-1,1,0
mbpp/462,mbpp,0,-1,0
mbpp/786,mbpp,-1,1,0
humaneval/73,humaneval,-1,1,0
mbpp/411,mbpp,0,-1,0
humaneval/148,humaneval,-1,1,0
mbpp/579,mbpp,-1,0,-1
mbpp/643,mbpp,1,0,1
mbpp/739,mbpp,-1,0,-1
mbpp/222,mbpp,-1,1,0
mbpp/267,mbpp,-1,1,0
mbpp/640,mbpp,0,-1,0
humaneval/52,humaneval,-1,1,0
mbpp/245,mbpp,-1,1,0
mbpp/310,mbpp,0,-1,0
mbpp/311,mbpp,0,-1,0
mbpp/250,mbpp,-1,1,0
mbpp/596,mbpp,0,-1,0
mbpp/223,mbpp,-1,1,0
mbpp/623,mbpp,-1,1,0
mbpp/558,mbpp,-1,1,0
mbpp/429,mbpp,0,-1,0
humaneval/89,humaneval,1,0,1
mbpp/433,mbpp,-1,1,0
humaneval/25,humaneval,-1,1,0
mbpp/290,mbpp,0,-1,0
humaneval/50,humaneval,-1,1,0
humaneval/121,humaneval,1,0,1
mbpp/163,mbpp,-1,1,0
mbpp/585,mbpp,-1,0,-1
mbpp/603,mbpp,0,-1,0
humaneval/97,humaneval,-1,1,0
mbpp/20,mbpp,0,-1,0
humaneval/51,humaneval,-1,1,0
mbpp/772,mbpp,-1,1,0
humaneval/150,humaneval,-1,1,0
humaneval/10,humaneval,1,0,1
mbpp/567,mbpp,-1,1,0
mbpp/19,mbpp,-1,1,0
mbpp/431,mbpp,0,-1,0
mbpp/760,mbpp,-1,1,0
mbpp/758,mbpp,-1,1,0
mbpp/784,mbpp,1,0,1
mbpp/6,mbpp,-1,1,0
mbpp/131,mbpp,-1,1,0
mbpp/8,mbpp,-1,1,0
mbpp/628,mbpp,-1,1,0
mbpp/436,mbpp,-1,1,0
mbpp/796,mbpp,-1,1,0
mbpp/574,mbpp,0,-1,0
humaneval/56,humaneval,-1,1,0
mbpp/577,mbpp,1,0,1
mbpp/578,mbpp,-1,1,0
mbpp/586,mbpp,-1,1,0
mbpp/432,mbpp,-1,1,0
mbpp/733,mbpp,-1,1,0
mbpp/771,mbpp,-1,1,0
mbpp/474,mbpp,-1,1,0
humaneval/6,humaneval,-1,1,0
mbpp/135,mbpp,-1,1,0
humaneval/90,humaneval,-1,1,0
mbpp/4,mbpp,-1,1,0
mbpp/237,mbpp,0,-1,0
mbpp/113,mbpp,-1,1,0
humaneval/1,humaneval,-1,1,0
mbpp/765,mbpp,0,-1,0
humaneval/17,humaneval,-1,1,0
mbpp/79,mbpp,-1,1,0
mbpp/86,mbpp,-1,1,0
mbpp/744,mbpp,-1,1,0
mbpp/74,mbpp,-1,1,0
mbpp/631,mbpp,0,-1,0
mbpp/280,mbpp,-1,1,0
humaneval/74,humaneval,-1,1,0
mbpp/405,mbpp,-1,0,-1
mbpp/93,mbpp,-1,1,0
mbpp/115,mbpp,-1,1,0
mbpp/556,mbpp,-1,1,0
mbpp/72,mbpp,1,0,1
mbpp/83,mbpp,0,-1,0
mbpp/776,mbpp,0,-1,0
mbpp/560,mbpp,-1,1,0
mbpp/471,mbpp,-1,1,0
humaneval/117,humaneval,-1,1,0
mbpp/459,mbpp,-1,1,0
mbpp/415,mbpp,0,-1,0
mbpp/456,mbpp,-1,1,0
humaneval/59,humaneval,-1,1,0
mbpp/105,mbpp,-1,1,0
mbpp/67,mbpp,0,-1,0
mbpp/388,mbpp,-1,1,0
mbpp/424,mbpp,1,0,1
mbpp/11,mbpp,-1,1,0
mbpp/162,mbpp,-1,1,0
humaneval/162,humaneval,-1,1,0
mbpp/448,mbpp,-1,0,-1
mbpp/749,mbpp,0,-1,0
mbpp/252,mbpp,0,-1,0
humaneval/138,humaneval,-1,1,0
mbpp/599,mbpp,-1,1,0
mbpp/233,mbpp,-1,1,0
mbpp/17,mbpp,-1,1,0
mbpp/736,mbpp,-1,1,0
mbpp/109,mbpp,-1,1,0
mbpp/406,mbpp,-1,1,0
mbpp/224,mbpp,-1,1,0
mbpp/232,mbpp,-1,1,0
mbpp/806,mbpp,-1,0,-1
humaneval/81,humaneval,-1,1,0
mbpp/782,mbpp,-1,1,0
mbpp/443,mbpp,0,-1,0
humaneval/139,humaneval,-1,1,0
mbpp/293,mbpp,-1,1,0
mbpp/437,mbpp,0,-1,0
humaneval/146,humaneval,1,0,1
mbpp/440,mbpp,0,-1,0
humaneval/135,humaneval,-1,0,-1
mbpp/783,mbpp,-1,1,0
mbpp/805,mbpp,-1,1,0
mbpp/565,mbpp,-1,1,0
humaneval/82,humaneval,-1,1,0
mbpp/587,mbpp,-1,1,0
humaneval/19,humaneval,-1,1,0
mbpp/137,mbpp,-1,1,0
mbpp/239,mbpp,-1,0,-1
mbpp/160,mbpp,0,-1,0
mbpp/604,mbpp,0,-1,0
mbpp/286,mbpp,1,0,1
humaneval/40,humaneval,-1,1,0
mbpp/164,mbpp,-1,0,-1
mbpp/251,mbpp,1,0,1
mbpp/738,mbpp,0,-1,0
mbpp/801,mbpp,1,0,1
humaneval/140,humaneval,-1,1,0
mbpp/637,mbpp,-1,1,0
mbpp/752,mbpp,0,-1,0
humaneval/48,humaneval,-1,1,0
humaneval/120,humaneval,0,-1,0
humaneval/129,humaneval,0,-1,0
mbpp/399,mbpp,-1,1,0
humaneval/57,humaneval,-1,1,0
mbpp/638,mbpp,-1,1,0
mbpp/559,mbpp,-1,1,0
humaneval/46,humaneval,-1,1,0
humaneval/55,humaneval,-1,1,0
humaneval/65,humaneval,0,-1,0
humaneval/63,humaneval,-1,1,0
mbpp/598,mbpp,-1,1,0
mbpp/793,mbpp,-1,1,0
mbpp/104,mbpp,-1,1,0
mbpp/410,mbpp,0,-1,0
mbpp/64,mbpp,-1,1,0
mbpp/802,mbpp,-1,1,0
mbpp/61,mbpp,-1,0,-1
mbpp/119,mbpp,-1,1,0
mbpp/393,mbpp,0,-1,0
mbpp/75,mbpp,-1,1,0
mbpp/773,mbpp,0,-1,0
humaneval/92,humaneval,-1,1,0
mbpp/127,mbpp,-1,1,0
mbpp/58,mbpp,-1,1,0
humaneval/64,humaneval,1,1,0
mbpp/90,mbpp,-1,1,0
humaneval/76,humaneval,-1,1,0
humaneval/109,humaneval,-1,1,0
mbpp/439,mbpp,-1,1,0
mbpp/626,mbpp,0,-1,0
humaneval/58,humaneval,-1,1,0
mbpp/473,mbpp,0,-1,0
mbpp/296,mbpp,-1,1,0
mbpp/117,mbpp,0,-1,0
mbpp/108,mbpp,-1,1,0
humaneval/2,humaneval,-1,1,0
mbpp/99,mbpp,-1,0,-1
mbpp/116,mbpp,-1,1,0
mbpp/246,mbpp,-1,1,0
mbpp/465,mbpp,-1,1,0
mbpp/435,mbpp,-1,1,0
mbpp/617,mbpp,0,-1,0
mbpp/460,mbpp,-1,1,0
humaneval/102,humaneval,-1,1,0
mbpp/307,mbpp,0,-1,0
humaneval/54,humaneval,0,-1,0
mbpp/591,mbpp,-1,1,0
humaneval/61,humaneval,-1,1,0
mbpp/238,mbpp,-1,1,0
mbpp/769,mbpp,0,-1,0
mbpp/304,mbpp,-1,1,0
mbpp/418,mbpp,-1,1,0
humaneval/87,humaneval,-1,1,0
humaneval/33,humaneval,-1,1,0
mbpp/594,mbpp,-1,1,0
mbpp/622,mbpp,0,-1,0
mbpp/589,mbpp,-1,1,0
humaneval/23,humaneval,-1,1,0
humaneval/156,humaneval,0,-1,0
mbpp/16,mbpp,-1,1,0
mbpp/720,mbpp,-1,1,0
mbpp/100,mbpp,-1,1,0
mbpp/98,mbpp,-1,1,0
mbpp/453,mbpp,0,-1,0
humaneval/149,humaneval,-1,1,0
mbpp/478,mbpp,-1,1,0
humaneval/88,humaneval,-1,1,0
mbpp/167,mbpp,1,0,1
mbpp/618,mbpp,-1,1,0
mbpp/798,mbpp,-1,1,0
mbpp/166,mbpp,-1,0,-1
humaneval/155,humaneval,-1,1,0
mbpp/256,mbpp,-1,1,0
