family,domain,model_a,model_b,task_id,repository,net_benefit,success_diff,p_win,p_loss,p_tie,success_decisive,cost_decisive,steps_decisive,comparisons,success_win,success_loss,success_net,cost_win,cost_loss,cost_net,steps_win,steps_loss,steps_net
tau2,airline,o4-mini,GPT-4.1,36,,0.6666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,37,,-0.5,-0.5,0.0,0.5,0.5,0.5,0.0,0.0,12,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,38,,-0.25,-0.25,0.0,0.25,0.75,0.25,0.0,0.0,12,0.0,0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,39,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,40,,0.9166666666666666,0.0,0.9166666666666666,0.0,0.08333333333333333,0.0,0.9166666666666666,0.0,12,0.0,0.0,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,41,,0.5,0.75,0.75,0.25,0.0,0.75,0.25,0.0,12,0.75,0.0,0.75,0.0,0.25,-0.25,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,42,,-0.5,-0.5,0.0,0.5,0.5,0.5,0.0,0.0,12,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,43,,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.0,0.5,0.3333333333333333,0.16666666666666666,12,0.5,0.0,0.5,0.08333333333333333,0.25,-0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0
tau2,airline,o4-mini,GPT-4.1,44,,0.08333333333333333,0.25,0.3333333333333333,0.25,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.0,12,0.3333333333333333,0.08333333333333333,0.25,0.0,0.16666666666666666,-0.16666666666666666,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,45,,-1.0,-0.75,0.0,1.0,0.0,0.75,0.25,0.0,12,0.0,0.75,-0.75,0.0,0.25,-0.25,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,46,,0.4166666666666667,0.0,0.5833333333333334,0.16666666666666666,0.25,0.0,0.75,0.0,12,0.0,0.0,0.0,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,47,,0.5833333333333334,0.25,0.75,0.16666666666666666,0.08333333333333333,0.25,0.6666666666666666,0.0,12,0.25,0.0,0.25,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,48,,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,12,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,GPT-4.1,49,,-0.5,0.0,0.25,0.75,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.25,0.75,-0.5,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,0,,-1.0,-0.5,0.0,1.0,0.0,0.5,0.5,0.0,12,0.0,0.5,-0.5,0.0,0.5,-0.5,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,1,,-0.25,-0.25,0.0,0.25,0.75,0.25,0.0,0.0,12,0.0,0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,2,,0.5,0.75,0.75,0.25,0.0,0.75,0.25,0.0,12,0.75,0.0,0.75,0.0,0.25,-0.25,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,3,,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,4,,-0.5,0.25,0.25,0.75,0.0,0.25,0.75,0.0,12,0.25,0.0,0.25,0.0,0.75,-0.75,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,5,,0.25,0.25,0.25,0.0,0.75,0.25,0.0,0.0,12,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,6,,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,7,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,8,,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,9,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,10,,-0.25,0.0,0.25,0.5,0.25,0.5,0.25,0.0,12,0.25,0.25,0.0,0.0,0.25,-0.25,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,11,,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,12,,-0.5,-0.5,0.0,0.5,0.5,0.5,0.0,0.0,12,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,13,,-0.6666666666666666,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,-0.6666666666666666,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,14,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,15,,-1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,12,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,16,,-1.0,-0.75,0.0,1.0,0.0,0.75,0.25,0.0,12,0.0,0.75,-0.75,0.0,0.25,-0.25,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,17,,0.5,0.75,0.75,0.25,0.0,0.75,0.25,0.0,12,0.75,0.0,0.75,0.0,0.25,-0.25,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,18,,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,19,,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,20,,0.25,0.5,0.5,0.25,0.25,0.5,0.25,0.0,12,0.5,0.0,0.5,0.0,0.25,-0.25,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,21,,0.25,0.25,0.25,0.0,0.75,0.25,0.0,0.0,12,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,22,,-0.08333333333333333,0.0,0.16666666666666666,0.25,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.0,12,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333,-0.08333333333333333,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,23,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,24,,-0.08333333333333333,0.0,0.16666666666666666,0.25,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.0,12,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333,-0.08333333333333333,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,25,,-0.5,0.25,0.25,0.75,0.0,0.25,0.75,0.0,12,0.25,0.0,0.25,0.0,0.75,-0.75,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,26,,-1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,12,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,27,,-0.08333333333333333,0.0,0.16666666666666666,0.25,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.0,12,0.16666666666666666,0.16666666666666666,0.0,0.0,0.08333333333333333,-0.08333333333333333,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,28,,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,29,,-0.5833333333333334,-0.25,0.16666666666666666,0.75,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.0,12,0.16666666666666666,0.4166666666666667,-0.25,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,30,,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,31,,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,32,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,33,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,34,,-1.0,-0.25,0.0,1.0,0.0,0.25,0.75,0.0,12,0.0,0.25,-0.25,0.0,0.75,-0.75,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,35,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,36,,-1.0,-0.75,0.0,1.0,0.0,0.75,0.25,0.0,12,0.0,0.75,-0.75,0.0,0.25,-0.25,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,37,,-0.5,-0.5,0.0,0.5,0.5,0.5,0.0,0.0,12,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,38,,0.08333333333333333,0.25,0.3333333333333333,0.25,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.0,12,0.3333333333333333,0.08333333333333333,0.25,0.0,0.16666666666666666,-0.16666666666666666,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,39,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,40,,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,41,,-0.25,-0.25,0.0,0.25,0.75,0.25,0.0,0.0,12,0.0,0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,42,,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,12,0.5,0.0,0.5,0.0,0.5,-0.5,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,43,,-0.5,-0.5,0.0,0.5,0.5,0.5,0.0,0.0,12,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,44,,0.5,0.75,0.75,0.25,0.0,0.75,0.25,0.0,12,0.75,0.0,0.75,0.0,0.25,-0.25,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,45,,-1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,12,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,46,,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,47,,-0.6666666666666666,-0.25,0.08333333333333333,0.75,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.0,12,0.08333333333333333,0.3333333333333333,-0.25,0.0,0.4166666666666667,-0.4166666666666667,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,48,,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,12,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,Claude-3.7,GPT-4.1,49,,-1.0,-0.25,0.0,1.0,0.0,0.25,0.75,0.0,12,0.0,0.25,-0.25,0.0,0.75,-0.75,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,0,,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,12,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,1,,0.75,0.75,0.75,0.0,0.25,0.75,0.0,0.0,12,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,2,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,3,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,4,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,5,,0.3333333333333333,0.25,0.5,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.0,12,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,6,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,7,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,8,,0.0,-0.5,0.5,0.5,0.0,0.5,0.5,0.0,12,0.0,0.5,-0.5,0.5,0.0,0.5,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,9,,0.25,0.25,0.25,0.0,0.75,0.25,0.0,0.0,12,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,10,,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,12,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,11,,-0.5,-0.75,0.25,0.75,0.0,0.75,0.25,0.0,12,0.0,0.75,-0.75,0.25,0.0,0.25,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,12,,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,12,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,13,,0.8333333333333334,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.9166666666666666,0.08333333333333333,12,0.0,0.0,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.08333333333333333,-0.08333333333333333
tau2,airline,o4-mini,Claude-3.7,14,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,15,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,16,,0.6666666666666666,0.5,0.75,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,12,0.5833333333333334,0.08333333333333333,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,17,,0.5,-0.25,0.75,0.25,0.0,0.25,0.75,0.0,12,0.0,0.25,-0.25,0.75,0.0,0.75,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,18,,0.0,-0.5,0.5,0.5,0.0,0.5,0.5,0.0,12,0.0,0.5,-0.5,0.5,0.0,0.5,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,19,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,20,,0.5,0.0,0.75,0.25,0.0,0.5,0.5,0.0,12,0.25,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,21,,0.6666666666666666,0.5,0.75,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,12,0.5833333333333334,0.08333333333333333,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,22,,0.4166666666666667,0.25,0.5,0.08333333333333333,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.0,12,0.3333333333333333,0.08333333333333333,0.25,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,23,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,24,,-0.25,-0.25,0.0,0.25,0.75,0.25,0.0,0.0,12,0.0,0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,25,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
tau2,airline,o4-mini,Claude-3.7,26,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
